Artist,Title,Series,Date published,Publisher,Description,Image file name
Katsukawa Shunsho (1726-1792),The actor Ichikawa Danjuro V holding a mirror,,1780,,"Signed Shunsho ga, circa 1780s; with collectors’ seals of Hayashi Tadamasa on the front, Gerhard Pulverer and Felix Tikotin to verso",Danjuro_Mirror.jpg
"Yashima Gakutei 
(1786-1868)",Brush (Fude): Ono no Tofu,The Four Friends of the Writing Desk for the Ichiyo Circle (Ichiyo-ren bunbo shiyu),1828,,"Woodblock print, surimono, embellished with metallic pigment and embossing, from the series The Four Friends of the Writing Desk for the Ichiyo Circle (Ichiyo-ren bunbo shiyu), signed Gakutei, privately issued for the Ichiyo Poetry Circle, circa 1828; with collector’s seal of Gerhard Pulverer to verso ",Calligrapher.jpg
"Ryuryukyo Shinsai 
(Active circa 1799 - 1823)",Wine cups,,1820,,"Square surimono. 20.7 x 18.4 cm.
""Fine impression with mother-of-pearl on crepe paper. Fine colour. Very good condition. The unusual use of crepe paper adds an extra level of refinement. The only other impression we could locate is in the Havemayer surimono album at the Metropolitan Museum of Art, New York.""",Wine_Cups.jpg
"Utagawa Hiroshige
(1797 - 1858)",Mt. Rokuso in Kazusa Province (Kazusa rokusozan),36 Views of Mt. Fuji (image 6),1858,,,Mt._Rokuso.jpg
"Utagawa Hiroshige 
(1797 - 1858)","Bingo Province: Abuto, Kannon Temple (Bingo, Abuto, Kannond?)
","Famous Places in the
Sixty-odd Provinces (Rokujuyoshu meisho zue)
49",1853,Koshimuraya Heisuke,"!  The Property of a Lady 
Utagawa Hiroshige (1797-1858) Bingo Province: Abuto, Kannon Temple (Bingo, Abuto, Kannondo) 
Edo period, 19th centurywoodblock print, from the series Famous Places in the Sixty-odd Provinces (Rokujuyoshu meisho zue), signed Hiroshige hitsu (Brush of Hiroshige), censor's seal aratame (certified), published by Koshimuraya Heisuke, block cutter's mark Hori Take (Yokokawa Takejiro), 12th month 1853, first state
Vertical oban: 35.9 x 24.1 cm. The Kannon Temple of Abuto stands on stilts at the edge of a rocky promontory. A hazy full moon peaks through the clouds; two boatman drift along the waters silhouetted in the misty dark. It is thought that Hiroshige based this design on an earlier illustration by Fuchigami Kyokko (d. 1833) in the album Remarkable Landscape Views (Sansui kikan, 4 vols., 1800). This is the first state with clouds printed in the sky, and the rockwork sensitively rendered. A similar impression of the first state is in the collection of the British Museum, museum number 1902,0212,0.397.19",Bingo.jpg
Kitao Masanobu (1761 - 1816),A couple caught in a downpour,,1783,,"Shows a couple caught in a downpour, the man shielding his companion with an umbrella. They are on the shore of Lake Biwa, northeast of Kyoto. In the distance can be seen the famous ancient pine tree in the grounds of the Karasaki Shrine. An unsigned (few of Masanobu’s prints are signed or have publisher’s seals) chuban set Furyu Omi hakkei, “Fashionable Eight Views of Omi,” this being night rain at Karasaki. Wrote under the name Santo Kyoden. Was also a painter, and illustrator of his own novels while owning a tobacco accessory shop. Published c. 1783. Rare.",Couple_Umbrella.jpg
"Utagawa Hiroshige 
(1797 - 1858)","Shinano Province: The Moon Reflected in the Sarashina Paddy-fields, Mount Ky?dai (Shinano, Sarashina tagoto no tsuki, Ky?daisan)
","Famous Places in the
Sixty-odd Provinces (Rokujuyoshu meisho zue)
25",1853,Koshimuraya Heisuke ,"Shinano, Sarashina tagoto no tsuki, Kyodaisan, “Shinano [Province], the Moon Reflected in the Sarashina Paddy-fields, Mount Kyodai.” This was a popular destination for outings to view the multiple reflections. From a set of 69 prints [Dai Nihon] Rokujuyoshi meisho zue, “Famous Places in the Sixty-odd Provinces [of Japan]” published by Koshimuraya Heisuke between 1853 and 1856, this being 1853.",Shinano.jpg
"Utagawa Hiroshige
(1797 - 1858)","Pine Beach at Miho in Suruga Province
(Suruga Miho no matsubara)","36 Views of Mt. Fuji (image 16)
",1858,Tsutaya Kichizo,"Suruga, Miho no Matsubara, “Pine Beach of Miho in Suruga [Province]” from Fuji sanjurokkei, “Thirty-six Views of Fuji” published by Tsutaya Kichizo, 1858. A striking design with the yellow sky and one of the best prints from the set. The Miho peninsula has a seven-kilometre seashore lined with pine trees.",Suruga.jpg
"Utagawa Kunitora 
(active c. 1819 - 1840)",Sumo triptych,,1820,Eikyudo,A triptych showing the famous sumo wrestlers from the Higashikata (East) camp. The opposite side being the Nishikata (West) camp. On the centre panel at the top are the famous wrestlers Arauma Daigoro (left) and Genjiyama Tsunagoro (right). Published by Eikyudo c late 1820s. Rare. ,Sumo_Opening_Triptych.jpg
"Hosoda Eishi 
(also known as Chobunsai Eishi) (1756-1829)",Omeshi nishiki-ori on-obiji (Silk Brocade for an Obi Sash),Furyu mitate goyо-matsu (Fashionable Five-needled Pine),1795,Nishimuraya Yohachi (Eijudo),"A Beauty of the Samurai Class Adjusting Charcoal in a Hibachi with a Doll in the Foreground
Title translation: 
A Beauty Dressed in Silk Brocade Seated at a Brazier OR 
Omeshi nishiki-ori on-obiji (Silk Brocade for an Obi Sash) 
Series translation: 
Fashionable Parody (Mitate) of Five Bijin Compared to Pine Needles OR 
A Parody of Elegant Short Pines OR 
Fashionable Five-needled Pine
Description:

This print by Hosoda Eishi (1756-1829) is from the series 風流見立五葉松 F?ry? mitate Goy?-matsu which is translated in various sources as ""y of Elegant Short Pines"" or “Fashionable Five-needled Pine”:
? ""ry?"" (風流) refers to elegance, refinement, or fashionable style
? ""tate"" (見立) means ""rody"" or ""adaptation"" - taking classical themes and presenting them in contemporary settings
? ""Goy?-matsu"" (五葉松) refers to five-needle pine trees, which were prized in Japanese aesthetics for their refined, miniaturized beauty (often used in bonsai)

Eishi came from a high-ranking samurai family and specialised in beauty (bijin ga) prints.  Here, a bijin (beautiful woman) in an elegant kimono is kneeling gracefully. Her kimono features bamboo and plum motifs - symbols in Japanese aesthetics representing resilience and beauty. Her obi (sash) is elaborately tied, showing high status. She is adjusting charcoal in a hibachi, a traditional heating device or brazier. A hina doll dressed in red is seated nearby. We call her Franka.
We found two alternative translations of the title of this print. Regarding the series’ title, we found three different versions. In the context of ukiyo-e, the term mitate-e is often translated into English as ""dy picture"". However, ‘parody’ as we understand it today does not reflect the meaning during the Edo period. Instead, descriptions such as f?ry? which means 風流, ""ant"" or ""fashionable"" would be used, and this is how various sources translate the title of this series.
eerent versions. In t",Samurai_Beauty.jpg
Utagawa Kunisada (1786-1864),A Sumo Tournament. Kanjin ozumo dohyoiri no zu (Wrestlers entering the Sumo Ring for fund-raising matches),,1845,,Oban triptych,Sumo_Tournament.jpg
Totoya Hokkei (1780?1850),A Street Palanquin by the First Torii Gate of Enoshima Shrine.,,1824,,"Untitled surimono depicting a street palanquin placed by the first torii gate of Enoshima Shrine.
Published, undated (c. 1824).
Signed: Hokkei.
The poem reads about how the carriers of the palanquin are absent because they are attending the mimachi festival, a festival dedicated to Benzaiten held once a year at shrines worshipping him. 
The poem explains that the palanquin is stationed without its bearers who are attending the mimachi ritual. This is also indicated from the text in the lanterns at top right. In 1824, the mimachi day fell on Risshun, the first day of spring. Square surimono. ",Palanquin.jpg
Teisai Hokuba (1771-1844),Three Courtesans,,1805,,"Surimono.
14 x 28.5 cm. Fine impression with exquisite embossing and metallic printing. Fine colour and condition. Meissner, Japanese Woodblock Prints in Miniature: The Genre of Surimono, Cover and plate 21 (this impression). Provenance: Kurt Meissner. A faded impression is in the Havemayer Collection, Metropolitan Museum, New York.
The poem reads: 
""Kotobuki Matsuto. 
Today is an auspicious day. I want to see the first blossoms of the plum blossoms.
The plum blossoms that greet people with a smile and are hidden by their sleeves.
It has been 18 years since the plum blossoms were planted in Kashiwayatei."" ",Three_Courtesans.jpg
"Utagawa Kuniyoshi (1797?1861).
","Three Women at Night Collecting
Bush Clover. The Tama River
of Noji in ?mi Province (?mi no
kuni hagi no Tamagawa) from an
untitled series of Mu Tamagawa
(Six Jewel Rivers)","Mu Tamagawa
(Six Jewel Rivers)",1847-1852,,"Oban
triptych. 36.5 x 74.3 cm. Suzuki
(1992) 266. ",Three_Women_Collecting_Bush_Clover.jpg
"Yanagawa Shigenobu 
(1787-1832)",A Young Woman of Kyoto Looking at Violets Whilst Holding a Fan,,Circa 1820s,,"Square surimono.
21.5 x 18.7 cm.",Kyoto_Woman_with_Violets.jpg
Ohara Koson (1877 - 1945),Rabbits and the Moon,,1930,Kawaguchi,"Two red eyed rabbits are basking cool light of the full moon, which is rising from behind the hill. The flowering purple bush clover suggests the autumn.
In the Japanese folk lore, rabbits live on the moon. Therefore, they are always associated with the autumn moon viewing.
Koson made popular designs featuring two rabbits and the full moon for publisher Watanabe. This design was done for publisher Kawaguchi, which was much rarer on the market.
Seals of carver Maeda, printer Komatsu on the right margin. ""Made in Japan"", no. 27, are stamped on verso.",Rabbits_and_Moon.jpg
Hotei Gosei,Omon-dori,A Comparison of Famous Things in the Eastern Capital (Toto meibutsu awase),1820,,"Woodblock print, surimono, embellished with metallic pigments and embossing
Signed: 'Gosei hitsu', sealed 'Go' and 'Sei'
Privately published, circa 1820
Shikishiban: 20.6 x 18.1 cm. (8 ? x 7 ? in.)",Omon_dori.jpg
Keisai Eisen (1790 - 1848) ,"Warbler (Momochidori)
Two Courtisans and Warblers in cages accompanied by a poem ",The Transmission of the Three Birds (Sanch?den),1825,Yamagawa,"Surimono.
Signed Eisen.
The poem on the prints reads: 
""In this chriping spring
of one hundred, on thousand birds
the warbler's tongue twirls around
smoothly as the plum-wood pestle
thta grinds its feed.""
Ky?kad?
",Warbler.jpg
Ohara Koson (1877 - 1945),Flying Bats and the FUll Moon,,1930,,"Two silhouettes of flying bats in a full moon night. The old name of the bat was ""henfuku"", which contained the word, ""fuku"" (happiness). Therefore, bat was considered as a lucky symbol in Japan.
""Made in Japan"" is stamped on verso.",
"Utagawa Hiroshige 
(1797 - 1858)","Chiyogaike Pond, Meguro 
(Meguro Chiyogaike)",100 Famous Views of Edo (Spring - image 23),"1856, 7th month",Uoya Eikichi,"REPLACE WITH OUR IMAGE
(from Wikipedia: ""Feature a ? for the time ? unusual depiction of reflections of the trees in the water"") 
Signed: 'Hiroshige hitsu'
Publisher: Uoya Eikichi
Censor's seal: 'aratame' (certified)
Vertical oban:
35.9 x 23.8 cm. (14 ? x 9 ? in.)
",Meguro_Spring.jpg
"Hokusai
(1760 - 1849)",Three Chicks,,1825,,"Surimono
Size (H x W): 7.5 x 6.88 (inches)",Three_Chicks.jpg
"Kubo Shunman
(1757 - 1820)","A Love Letter, a Daisho Calendar and a Toothpick Holder in the Shape of a Kimono Sleeve (Tagasode).",,1797,,"Surimono.
9 x 18.6cm",Love_Letter.jpg
"Utagawa Hiroshige 
(1797 - 1858)",Cherry Island in Osumi Province (Osumi Sakurajima),"Famous Places in the
Sixty-odd Provinces (Rokujuyoshu meisho zue)",1856,,"Oban.
35 x 24.5 cm. ",Osumi.jpg
,,,,,,
